model,answers_completed_of_33,median_seconds_per_answer,median_answer_tokens,median_tokens_per_second,correlation_time_vs_answer_length,correlation_time_vs_input_length
meta/muse-spark-1.2,33,18.5,4205,222,0.79,0.08
google/gemini-3.1-pro-preview,33,19.4,2621,133,0.99,-0.01
google/gemini-3.8-flash,32,22.3,1995,89,0.91,0.65
openai/gpt-5.4,33,29.2,3058,105,0.95,-0.22
x-ai/grok-4.6,33,38.4,2498,61,0.61,-0.24
x-ai/grok-4.7,4,43.9,3176,75,0.98,0.3
anthropic/claude-sonnet-5,15,49.9,4471,91,0.59,0.07
